Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage
39.3,38.8,39.8,33.0,35.4,30.6,0.00733,0.0193,0.0329,0.00894,0.00694,5.74,0.01,0.00754,0.0393,0.0374,0.239,0.011,7.9,5,19,5,400,4.0,12.6,5.3,4.5,0.0291,4.5,5.2,5.7,4.5,7.3,5.4,5.0,10.5,2.6,8.0,85.1,0,0
40.1,37.6,42.6,35.7,35.4,36.0,0.00675,0.0179,0.033,0.00853,0.00694,5.82,0.0105,0.00754,0.0392,0.0371,0.24,0.0115,7.79,5,18,5,400,4.1,12.9,4.9,5.4,0.0289,6.5,4.0,6.3,5.4,6.0,5.3,5.3,10.3,3.2,9.5,89.1,0,0
40.6,42.0,39.2,31.6,32.2,31.0,0.00675,0.0179,0.033,0.00853,0.00657,5.95,0.0105,0.00689,0.0388,0.0371,0.24,0.011,7.69,5,17,5,400,4.9,12.2,4.9,4.7,0.029,6.8,5.0,6.3,6.5,4.5,4.7,4.8,10.2,3.4,9.0,87.9,0,0
36.3,36.2,36.4,35.2,35.0,35.4,0.00671,0.0168,0.0332,0.0086,0.00625,5.92,0.00987,0.00727,0.0391,0.0369,0.238,0.0111,7.65,5,18,5,400,4.7,11.6,5.2,5.4,0.0289,5.1,5.6,5.6,5.5,4.6,5.4,4.8,10.0,2.4,8.6,84.5,0,0
40.9,39.8,42.0,34.5,35.8,33.2,0.00674,0.0168,0.0332,0.00897,0.00643,6.04,0.00987,0.00672,0.039,0.0372,0.239,0.0116,7.62,5,18,5,400,3.8,12.3,5.0,6.0,0.0289,4.4,5.0,4.8,4.8,5.0,5.7,5.0,9.8,2.7,8.4,82.7,0,0
39.3,40.2,38.4,33.1,28.8,37.4,0.00787,0.0204,0.0333,0.00889,0.00596,6.08,0.00909,0.00672,0.04,0.0372,0.24,0.0108,7.6,5,19,5,400,3.7,13.6,4.3,5.1,0.0293,5.3,6.0,4.2,6.2,5.0,4.9,6.1,10.2,3.5,8.1,86.2,0,0
41.1,42.4,39.8,32.8,32.6,33.0,0.00787,0.0214,0.0333,0.00891,0.00636,6.21,0.00981,0.0072,0.0389,0.037,0.239,0.0116,7.55,5,19,5,400,3.5,12.7,4.7,5.4,0.029,6.1,6.0,5.0,6.8,5.3,5.9,6.3,11.6,3.7,7.4,90.4,0,0
37.9,36.8,39.0,35.6,35.4,35.8,0.00808,0.0202,0.0332,0.00867,0.00616,6.27,0.00979,0.00716,0.0388,0.037,0.241,0.0101,7.53,5,18,5,400,3.6,12.3,5.0,5.3,0.0293,6.2,5.9,5.2,5.4,4.8,7.7,5.8,12.3,3.6,6.7,89.8,0,0
40.2,38.4,42.0,34.3,35.4,33.2,0.00788,0.0211,0.0331,0.00922,0.00654,6.33,0.00979,0.00716,0.0391,0.0375,0.24,0.0111,7.5,5,19,5,400,3.6,11.9,4.5,5.5,0.0287,5.4,7.1,5.0,5.2,4.2,7.4,6.1,12.3,3.5,7.5,89.2,0,0
40.3,40.2,40.4,34.2,37.2,31.2,0.00783,0.0221,0.0332,0.00954,0.00663,6.73,0.00904,0.00664,0.039,0.0375,0.238,0.0111,7.47,5,20,5,400,3.9,11.6,5.4,6.0,0.0296,5.1,8.3,5.2,5.6,4.6,6.0,5.3,12.5,4.2,7.1,90.8,0,0
38.0,39.2,36.8,34.5,30.2,38.8,0.00793,0.0197,0.0334,0.00891,0.00606,7.15,0.00976,0.0073,0.038,0.0377,0.239,0.0105,7.47,5,20,5,400,4.8,12.4,5.2,5.0,0.0292,4.3,6.7,5.5,5.2,5.8,4.8,5.7,11.5,3.7,6.5,87.1,0,0
40.6,41.8,39.4,37.0,36.8,37.2,0.00673,0.0196,0.0334,0.00887,0.00532,7.41,0.00898,0.00815,0.0387,0.038,0.239,0.0102,7.43,5,19,5,400,4.3,12.2,4.3,4.7,0.029,4.9,4.8,6.0,5.7,6.5,5.1,6.6,11.9,4.6,6.5,88.1,0,0
40.2,39.8,40.6,32.3,34.6,30.0,0.00763,0.0138,0.0326,0.0076,0.00742,2.11,0.00946,0.00739,0.039,0.0383,0.237,0.0106,6.19,5,16,5,200,42.8,8.6,4.8,4.4,0.0317,2.8,3.2,1.8,2.8,3.2,3.4,4.0,6.6,1.6,3.0,93.0,0,0
32.6,35.2,30.0,35.1,31.0,39.2,0.00757,0.0126,0.0327,0.00722,0.007,2.26,0.0107,0.00696,0.0391,0.0384,0.237,0.00981,6.49,5,18,5,200,22.0,6.7,4.0,3.5,0.0318,2.3,2.4,2.0,3.3,3.0,2.8,2.8,5.0,1.5,2.8,64.1,0,0
34.7,34.6,34.8,31.7,26.0,37.4,0.00765,0.0141,0.0327,0.00739,0.007,2.31,0.0107,0.00741,0.0392,0.0381,0.24,0.0102,6.65,5,21,5,200,1.4,6.4,2.6,2.4,0.0318,1.7,2.2,2.9,3.8,2.9,2.7,2.3,4.2,1.3,4.2,41.0,0,0
34.1,34.8,33.4,34.0,30.0,38.0,0.00698,0.0139,0.0327,0.00706,0.00684,2.44,0.0107,0.00656,0.0388,0.0382,0.234,0.0106,6.71,5,18,5,200,2.2,6.0,2.3,2.3,0.0313,2.0,2.6,3.1,3.5,2.1,3.2,3.2,5.4,1.6,4.8,44.3,0,0
