Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage
25.2,28.6,21.8,28.2,26.4,30.0,24.0,21.0,27.0,0.0113,0.0158,0.0338,0.00689,0.00793,1.17,0.0105,0.00697,0.0395,0.0376,0.23,0.0119,7.81,6,19,6,100,0.9,2.1,0.9,1.6,0.079,1.5,1.2,1.4,1.6,1.6,2.2,1.6,3.2,0.8,1.5,22.1,0,0,0
25.7,26.8,24.6,27.5,23.2,31.8,22.8,24.0,21.6,0.0101,0.0158,0.0338,0.00726,0.00797,1.22,0.0113,0.00692,0.0394,0.0374,0.228,0.0125,7.86,6,20,6,100,0.7,2.6,1.4,1.6,0.0786,1.6,1.3,1.1,1.6,1.6,1.9,1.4,2.9,0.9,1.4,22.0,0,0,0
26.6,25.6,27.6,26.7,27.6,25.8,26.7,27.2,26.2,0.0106,0.0158,0.0339,0.00726,0.00805,1.31,0.0105,0.00645,0.0393,0.0375,0.231,0.0125,7.98,6,23,6,100,0.8,3.5,1.9,1.1,0.0822,1.6,1.5,1.3,1.6,1.3,1.2,1.3,3.1,0.8,1.4,22.4,0,0,0
24.1,21.8,26.4,27.2,28.0,26.4,23.6,23.6,23.6,0.0101,0.0158,0.0339,0.00723,0.0073,1.31,0.0105,0.00645,0.0394,0.0375,0.23,0.0116,7.94,6,22,6,100,0.7,2.7,1.2,1.6,0.0811,1.6,1.8,1.4,1.1,1.1,1.6,1.6,3.7,1.4,1.2,22.7,0,0,0
25.2,29.6,20.8,26.5,25.6,27.4,22.8,24.6,21.0,0.0107,0.0167,0.0339,0.00723,0.00743,1.38,0.0113,0.00694,0.0392,0.0374,0.229,0.0121,7.87,6,18,6,100,0.4,2.3,1.0,1.8,0.0827,1.4,1.8,1.7,0.9,1.2,1.1,1.9,2.7,0.9,1.6,20.7,0,0,0
25.4,24.2,26.6,29.1,25.4,32.8,23.7,24.4,23.0,0.0103,0.0156,0.034,0.00696,0.00772,1.43,0.0113,0.00643,0.0391,0.0374,0.229,0.0123,7.9,6,17,6,100,0.5,2.6,1.3,1.8,0.0821,1.4,1.9,1.8,1.1,1.3,0.5,1.6,2.4,0.6,1.8,20.6,0,0,0
25.4,26.0,24.8,27.6,22.2,33.0,24.1,28.4,19.8,0.0108,0.0166,0.0339,0.00746,0.00766,1.44,0.0105,0.00949,0.0382,0.037,0.233,0.0123,7.93,6,20,6,100,1.0,2.7,1.2,1.6,0.0774,1.7,1.5,1.4,1.3,1.7,0.9,1.2,2.8,1.0,2.2,22.2,0,0,0
24.0,20.4,27.6,27.3,29.6,25.0,23.8,26.0,21.6,0.0101,0.0157,0.0341,0.00749,0.00787,1.51,0.0105,0.00899,0.0391,0.0371,0.229,0.0114,7.91,6,19,6,100,1.3,2.7,0.8,0.9,0.0772,1.6,1.5,1.5,1.5,1.7,1.2,1.3,2.4,0.5,2.5,21.4,0,0,0
25.6,22.2,29.0,26.4,21.6,31.2,24.4,27.0,21.8,0.0106,0.0166,0.0341,0.00751,0.00761,1.52,0.0113,0.00956,0.0391,0.037,0.232,0.0119,7.87,6,18,6,100,1.1,3.1,1.4,1.3,0.0789,1.0,1.9,1.1,1.6,1.1,1.0,1.5,2.4,0.4,2.0,20.9,0,0,0
25.4,24.8,26.0,27.5,31.0,24.0,22.5,18.0,27.0,0.01,0.0164,0.034,0.00655,0.00742,1.58,0.0105,0.00956,0.0399,0.037,0.229,0.0124,7.85,6,18,6,100,1.0,2.5,1.7,1.4,0.0776,0.8,1.8,0.9,1.4,1.1,1.3,1.1,2.7,0.7,1.7,20.1,0,0,0
